Name,AUID,Coords,Const,Type,Period,Mag
VSSP J061947.07+170350.7,000-BPN-044,06 19 47.07 +17 03 50.7,Ori,RCB,--,15.4: - <20.0: r
V0544 Pav,000-BJB-924,20 30 04.97 -62 07 59.2,Pav,RCB,37.78,12.8 - 16.3 V
HH Per,000-BFC-132,04 32 59.35 +41 58 54.3,Per,RCB,--,14.5 - 19.0 p V
SV Sge,000-BCF-417,19 08 11.77 +17 37 41.2,Sge,RCB,56.64,10.3 - 17.1 V
MGAB-V209,000-BNK-659,19 13 25.16 +17 37 02.0,Sge,RCB,--,14.8 - 17.4 r
RY Sgr,000-BCG-016,19 16 32.77 -33 31 20.3,Sgr,RCB,37.67,5.8 - 14.0 V
VZ Sgr,000-BCB-737,18 15 08.57 -29 42 29.5,Sgr,RCB,--,10.12 - <15.0 V
GU Sgr,000-BCC-270,18 24 15.58 -24 15 26.4,Sgr,RCB,--,10.2 - 16.6 V
IZ Sgr,000-BFD-784,18 36 31.26 -20 59 15.5,Sgr,RCB,--,13.6 - <16.5 p
MV Sgr,000-BCX-003,18 44 31.97 -20 57 12.9,Sgr,RCB,--,12 - 16.05 B
V0348 Sgr,000-BCC-948,18 40 19.93 -22 54 29.4,Sgr,RCB,--,11.2 - 19.0: V
V0739 Sgr,000-BCX-021,18 13 10.56 -30 16 14.7,Sgr,RCB,--,12.2 - 20.0: V
V1157 Sgr,000-BCX-041,19 10 11.83 -20 29 42.0,Sgr,RCB,--,11.3 - 17.0: V
V1783 Sgr,000-BCX-056,18 04 49.74 -32 43 13.6,Sgr,RCB,47.22,10.4 - <14.0 V
V3260 Sgr,000-BFH-609,18 24 39.27 -31 32 52.5,Sgr,RCB,--,16.0 - <21.0 V
V3795 Sgr,000-BCB-652,18 13 23.56 -25 46 40.9,Sgr,RCB,--,11.5 - <15.5 p
V4017 Sgr,000-BCX-096,18 18 02.29 -29 29 33.0,Sgr,RCB,--,10.6 - 11.8 V
V5639 Sgr,000-BHQ-709,18 16 39.20 -24 18 33.4,Sgr,RCB,132.98,11.9 - 15.8 Ic
2MASS J18125249-2333044,000-BMZ-335,18 12 52.50 -23 33 04.6,Sgr,RCB,--,14.6 - <16.1 V
2MASS J18153824-2038457,000-BMZ-409,18 15 38.25 -20 38 45.7,Sgr,RCB,--,18.3 - <20.3 g
2MASS J19421837-2032476,000-BLD-736,19 42 18.38 -20 32 47.6,Sgr,RCB,--,12.0 - 20 CV
ASAS J181204-2808.6,000-BKN-177,18 12 03.69 -28 08 36.2,Sgr,RCB,--,11.65 - <15.3 V
ASAS J190640-1623.9,000-BHV-871,19 06 39.87 -16 23 59.2,Sgr,RCB,--,10.75 - <12.4 V
ASASSN-19na,000-BNC-495,18 23 34.24 -28 29 57.2,Sgr,RCB,--,15.6 - <19.8 G g
ASASSN-V J175031.71-233945.7,000-BMV-191,17 50 31.71 -23 39 45.8,Sgr,RCB,--,15.0 - <17.4 V
ASASSN-V J182723.24-200826.5,--,18 27 23.40 -20 08 30.2,Sgr,RCB,--,15.4 - <21 V
ASASSN-V J190309.89-302037.0,000-BMV-190,19 03 09.90 -30 20 37.2,Sgr,RCB,--,13.4 - 15.3 V
EROS2-CG RCB-1,000-BKB-452,17 52 20.04 -29 03 31.7,Sgr,RCB,--,12.44 (>8.3) R
EROS2-CG RCB-10,000-BKK-788,17 45 31.42 -23 32 24.9,Sgr,RCB,--,12.46 (6.0) R
EROS2-CG RCB-11,000-BKK-791,17 48 41.57 -23 00 26.7,Sgr,RCB,--,12.35 (5.8) R
EROS2-CG RCB-13,000-BKB-412,18 01 58.25 -27 36 48.4,Sgr,RCB,--,11.42 (5.1) R
EROS2-CG RCB-14,000-BKB-454,18 13 14.87 -27 49 41.1,Sgr,RCB,--,12.45 (>8.3) R
EROS2-CG RCB-9,000-BKK-790,17 48 30.90 -24 22 56.7,Sgr,RCB,--,15.20 (2.6) R
Gaia DR3 4047428367726005376,--,18 35 47.64 -29 49 59.7,Sgr,RCB,--,13.22 - 14.41 G
Gaia DR3 4070603878208934912,--,17 55 24.73 -21 27 57.8,Sgr,RCB,--,14.39 - 16.83 G
Gaia DR3 4090248818087957120,--,18 25 44.32 -21 30 33.1,Sgr,RCB,--,14.10 - 15.98 G
GDS_J1829438-190246,000-BMV-209,18 29 43.83 -19 02 46.2,Sgr,RCB,--,13.2 - <16.2: r
GLIMPSE-RCB-Cand-1,000-BMV-210,17 46 45.91 -25 03 14.1,Sgr,RCB,--,10.2 (8.0)Ic J
GLIMPSE-RCB-Cand-2,000-BMV-211,17 57 50.00 -18 25 22.9,Sgr,RCB,--,10.8 - ? J
IRAS 17485-2205,000-BKT-530,17 51 36.81 -22 06 30.6,Sgr,RCB,--,13.9 - <16.4 V
IRAS 17530-1647,000-BKT-606,17 55 58.52 -16 47 44.4,Sgr,RCB,--,14.185 (1.349) Ic
MACHO 135.27132.51,000-BKB-455,18 19 33.76 -28 35 58.1,Sgr,RCB,--,14.3 (>3.5) V
MACHO 308.38099.66,000-BKK-747,18 19 27.42 -21 24 08.2,Sgr,RCB,--,16.3 (5) V
MACHO 401.48170.2237,000-BKB-453,17 57 58.94 -28 18 12.9,Sgr,RCB,--,14.5 (6) V
Mis V0862,000-BKB-411,17 58 28.30 -30 51 16.6,Sgr,RCB,--,11.17 (>6.9) R
WISE J175107.12-242357.3,--,17 51 07.13 -24 23 57.4,Sgr,RCB,--,14.2 - 14.8: V R
WISE J175521.75-281131.2,--,17 55 21.75 -28 11 31.4,Sgr,RCB,--,14.1 - <17.9 r
WISE J182010.96-193453.4,--,18 20 10.97 -19 34 53.5,Sgr,RCB,--,10.4 - 12.1 J
WISE-ToI-222,000-BPK-115,18 18 36.39 -18 17 32.9,Sgr,RCB,--,13.4 - <16.9 G
V0653 Sco,000-BFK-921,17 49 15.66 -39 13 16.6,Sco,RCB,--,12.4 - <16.8: V
V1135 Sco,000-BFL-329,17 30 23.85 -30 08 28.5,Sco,RCB,--,12.75 (6.2) R
ASAS J175226-3411.5,000-BHN-666,17 52 25.51 -34 11 28.2,Sco,RCB,--,12.2 - <14.0 V
ASASSN-V J170737.02-314812.5,000-BMV-195,17 07 37.02 -31 48 12.5,Sco,RCB,--,14.3 - 16.3 V
ASASSN-V J174257.20-362052.1,000-BMV-196,17 42 57.20 -36 20 52.1,Sco,RCB,--,14.8 - <16.9 V
ASASSN-V J174328.51-375029.1,000-BQL-164,17 43 28.50 -37 50 29.1,Sco,RCB,--,14.3 - <15.3 V
ASASSN-V J174851.30-330617.2,--,17 48 51.30 -33 06 17.2,Sco,RCB,15.462,14.30 - 14.62 V
EROS2-CG RCB-5,000-BKK-789,17 46 00.34 -33 47 56.7,Sco,RCB,--,13.5 - 19.5 R
Gaia DR2 5958492040579687168,--,17 32 02.76 -43 29 06.2,Sco,RCB,--,13.9 - <16.3 G R
Gaia DR2 5962697118452441088,--,17 35 53.07 -36 41 04.1,Sco,RCB,--,15.1 - <17 V
NSV 22221,000-BKK-786,17 29 37.11 -30 39 36.8,Sco,RCB,--,14.05 (>6.6) R
NSV 23774,000-BKD-580,17 46 16.23 -32 57 40.9,Sco,RCB,--,12.54 (>8.2) R
Terz V 3526,000-BKT-288,17 08 27.19 -32 26 49.6,Sco,RCB,--,11.9 - <18.0 R
Terz V 4229,--,17 20 44.90 -31 50 31.9,Sco,RCB,--,15.8 - <18.0 R
WISE J163450.35-380218.5,--,16 34 50.37 -38 02 18.6,Sco,RCB,--,18.6 - <20.6 G
WISE J164440.88-421522.3,--,16 44 40.89 -42 15 22.4,Sco,RCB,--,18.65 - ? G
WISE J170343.87-385126.6,--,17 03 43.88 -38 51 26.7,Sco,RCB,--,19.04 - ? G
WISE J170355.12-355434.6,000-BPN-648,17 03 55.12 -35 54 34.7,Sco,RCB,--,13.7 - 21.3 G
WISE J170738.27-431019.7,--,17 07 38.28 -43 10 19.8,Sco,RCB,--,18.56 - ? G
WISE J171815.36-341339.9,--,17 18 15.37 -34 13 40.0,Sco,RCB,--,18.13 - ? G
WISE J171908.50-435044.6,--,17 19 08.52 -43 50 44.6,Sco,RCB,--,15.844 (2.134) Ic
WISE J172553.80-312421.1,--,17 25 53.80 -31 24 21.3,Sco,RCB,--,18.07 - ? G
FH Sct,000-BCX-196,18 45 14.85 -09 25 36.1,Sct,RCB,55.5,11.9 - <19: V
V0391 Sct,000-BCC-407,18 28 06.61 -15 54 44.1,Sct,RCB,--,11.7 - 15.7 Ic
GDS_J1836495-113420,000-BMV-216,18 36 49.55 -11 34 20.7,Sct,RCB,--,14.52 (5.15) r
GDS_J1841584-054819,000-BMV-251,18 41 58.40 -05 48 19.3,Sct,RCB,--,12.6 - <13.1 r
MACHO 301.45783.9,000-BKK-746,18 32 18.60 -13 10 49.6,Sct,RCB,--,17.3 (>5) V
WISE J183135.46-144511.3,000-BPR-598,18 31 35.48 -14 45 11.4,Sct,RCB,--,17.9 - <23 r G
ZTF18abhjrcf,--,18 42 46.25 -12 54 14.8,Sct,RCB,--,13.9 - 20.7 r
AC Ser,000-BFL-923,17 29 51.81 -10 17 16.0,Ser,RCB,--,12.0 - 13.5 p
2MASS J18055049-1513016,000-BKS-452,18 05 50.50 -15 13 01.7,Ser,RCB,59,13.8 - 17.5: V
MGAB-V2118,--,18 22 35.26 -03 32 13.2,Ser,RCB,--,17.6 - 21.6 r
SU Tau,000-BBK-232,05 49 03.73 +19 04 21.9,Tau,RCB,44.68,9.1 - 18.0 V
RS Tel,000-BCX-324,18 18 51.22 -46 32 53.4,Tel,RCB,48.6,9.6 - <16.5 V
EROS2-SMC-RCB-1,000-BLZ-430,00 37 47.10 -73 39 02.4,Tuc,RCB,--,15.2 - 21.6 Ic
EROS2-SMC-RCB-2,000-BMV-197,00 48 22.94 -73 41 04.6,Tuc,RCB,--,14.3 - <17.2 V
EROS2-SMC-RCB-2,--,00 44 07.51 -72 44 16.3,Tuc,RCB,--,16.9 - 19.7 B
Gaia16aau,000-BLV-939,00 50 10.70 -69 43 57.8,Tuc,RCB,45.25,13.5 - <19.5 Ic
MACHO 207.16426.1662,000-BLB-712,00 57 18.14 -72 42 35.3,Tuc,RCB,--,14.0 - 21 I
MSX SMC 014,--,00 46 16.33 -74 11 13.6,Tuc,RCB,--,17.7 - 21.8 Ic
WISE J005113.58-731036.3,--,00 51 13.60 -73 10 36.4,Tuc,RCB,--,20.03 - ? G
Z UMi,000-BBV-812,15 02 01.37 +83 03 48.6,UMi,RCB,130:00:00,10.8 - 19.0 V
